Üretimden Satışlar Genel Sıra No;Firma Adı;Yıl;Üretimden Satışlar;Net Satışlar;Brüt Katma Değer;Özkaynak;Aktif Toplamı;Vergi Öncesi Kar/Zarar;FAVÖK Kar/Zarar;İhracat (Bin $) ;Ücretle Çalışanlar Ortalaması Kişi;Bağlı Olduğu Oda;Sermaye Payı Kamu;Sermaye Payı Özel;Sermaye Payı Yabancı;Sermaye Payı Halka Açık;NACE;NACE Kodu;ISIC;ISIC Kodu;Web Adresi;İl;İlçe;Adres
330;Çağ Çelik Demir ve Çelik Endüstri A.Ş.;2021;1.477.684.134,00;1.646.861.539,00;176.667.515,00;;;225.354.731,00;;115.102,00;;Karabük Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.cagcelik.com.tr;İstanbul;Sancaktepe;Emek Mah. Nato Yolu Cad. No.286 Esenşehir
331;Bifa Bisküvi ve Gıda Sanayi A.Ş.;2021;1.477.231.545,00;1.520.166.906,00;;;;;;;2856;Karaman Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.bifa.com.tr;Karaman;Merkez;Pirireis Mah. Recep Tayyip Erdoğan Bulvarı No.75
332;Maren Maraş Elektrik Üretim San. ve Tic. A.Ş.;2021;1.475.985.168,00;1.477.130.321,00;;957.896.163,00;7.026.222.826,00;;;20.271,00;410;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.kipas.com.tr;Kahramanmaraş;Dulkadiroğlu;Karacasu Karaziyaret Mah. Fatih Sultan Mehmet Cad. No.1/A
333;Coşkunöz Metal Form Makina Endüstri ve Ticaret A.Ş.;2021;1.475.372.610,00;1.475.372.611,00;;;;;;;;Bursa Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.coskunoz.com.tr;Bursa;Nilüfer;Organize Sanayi Bölgesi Mavi Cad. No.5
334;Medcem Madencilik ve Yapı Malzemeleri San. ve Tic. A.Ş.;2021;1.471.470.534,00;1.504.295.269,00;;;6.149.949.702,00;;;127.308,00;326;Silifke Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Taş ve Toprağa Dayalı Diğer Sanayi;369       ;www.medcem.com.tr;İstanbul;Ataşehir;Atatürk Mah. Ertuğrul Gazi Sok. Metropol İstanbul
335;Leoni Kablo ve Teknolojileri San. ve Tic. Ltd. Şti.;2021;1.469.509.461,00;1.526.636.100,00;;;;;;88.169,00;178;Bursa Ticaret ve Sanayi Odası;0,00;5,00;95,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.leoni.com.tr;Bursa;Nilüfer;Işıktepe OSB Mah. Eflatun Cad. No.16
336;Burteks Tekstil San. ve Tic. A.Ş.;2021;1.469.148.037,00;1.642.511.055,00;;;;;;11.089,00;654;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.burteksgroup.com;Gaziantep;Şehitkamil;2. Organize Sanayi Bölgesi 83228 Nolu Cad. No.7 
337;ÖzKa Lastik ve Kauçuk San. Tic. A.Ş.;2021;1.463.111.969,00;1.503.277.447,00;;;;;;117.260,00;354;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Lastik Ürünleri Sanayi;355       ;www.ozkalastik.com;Kocaeli;Başiskele;Mahmutpaşa Mah. Kanalyolu Cad. No.129 Kullar
338;Maxion Jantaş Jant San. ve Tic. A.Ş.;2021;1.460.237.033,00;1.468.507.814,00;;422.267.802,00;805.431.780,00;;;92.109,00;472;Manisa Ticaret ve Sanayi Odası;0,00;40,00;60,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.maxionwheels.com;Manisa;Yunusemre;Organize Sanayi Bölgesi Gaziler Cad. No.8
340;Femaş Metal San. ve Tic. A.Ş.;2021;1.452.313.744,00;1.455.481.171,00;401.677.715,00;1.008.360.774,00;2.735.070.588,00;343.776.957,00;304.109.948,00;154.046,00;1504;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.ferre.com.tr;Kayseri;Melikgazi;Organize Sanayi Bölgesi 9. Cad. No.17
341;Hektaş Ticaret T.A.Ş.;2021;1.442.739.559,00;1.932.635.181,00;556.420.738,00;1.319.513.329,00;3.806.176.850,00;241.654.900,00;454.998.682,00;8.672,00;481;Kocaeli Sanayi Odası;0,00;58,82;0,00;41,18;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.hektas.com.tr;Kocaeli;Gebze;Gebze OSB Mah. 700. Sokak No.711/1
342;Akpa Alüminyum San. ve Tic. A.Ş.;2021;1.426.488.564,00;1.667.428.700,00;288.705.624,00;505.352.478,00;1.245.915.217,00;172.066.731,00;241.007.668,00;61.865,00;808;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.akpaas.com.tr;İstanbul;Kağıthane;Hürriyet Mah. Dr. Cemil Bengü Cad. No.6
343;Armada Gıda Tic. San. A.Ş.;2021;1.417.999.014,00;1.420.157.675,00;233.623.197,00;;;81.069.292,00;;;;Mersin Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.armadafoods.com;Mersin;Akdeniz;Toroslar Mah. Atatürk8 Bulvarı No.17 
345;Göymen Food Gıda San. ve Tic. A.Ş.;2021;1.407.916.228,00;2.051.490.074,00;496.694.576,00;483.257.138,00;1.259.692.133,00;67.413.674,00;275.377.512,00;57.921,00;285;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.goymen.com.tr;Gaziantep;Şehitkamil;Başpınar (Organize) OSB Mahallesi O.S.B. 1.Bölge 83107 No.Lu Cad. No.6
346;Tufan Endüstri Demir Çelik San. ve Tic. A.Ş.;2021;1.407.179.558,00;1.444.524.035,00;92.216.563,00;30.258.470,00;303.960.806,00;18.971.611,00;17.185.425,00;10.027,00;118;Dörtyol Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.tufanendustri.com;Hatay;Dörtyol;Organize Sanayi Bölgesi Haddeciler Cad. No.3
347;Atom Kablo San. ve Tic. A.Ş.;2021;1.406.094.899,00;1.415.622.608,00;;;;;;158.595,00;;Denizli Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.atom.com.tr;Denizli;Denizli;Akhan Mah. 238. Sok. No.4
348;Kartonsan Karton San. ve Tic. A.Ş.;2021;1.400.323.169,00;1.428.540.269,00;496.064.240,00;;1.076.043.081,00;368.800.715,00;;19.891,00;;İstanbul Sanayi Odası;0,00;78,13;0,00;21,87;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.kartonsan.com.tr;İstanbul;Beşiktaş;Prof. Dr. Bülent Tarcan Cad. Engin Pak İş Merkezi  No.5 Kat.3 Gayrettepe
349;Ortadoğu Rulman San. ve Tic. A.Ş.;2021;1.396.119.888,00;1.398.170.710,00;;;;;;;;Ankara Sanayi Odası;0,00;96,65;3,35;0,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.ors.com.tr;Ankara;Polatlı;Kuşçu Mah. Beyceğiz Yolu Küme Evleri (Eskişehir Yolu 65. Km) No.76
350;Umur Basım San. ve Tic. A.Ş.;2021;1.395.310.606,00;1.426.817.223,00;338.524.097,00;192.120.024,00;1.353.370.905,00;20.526.082,00;292.890.339,00;20.256,00;632;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kayıtlı medyanın basılması ve çoğaltılması;18        ;Basım Sanayi;342       ;www.umur.com.tr;İstanbul;Ümraniye;Dudullu OSB Mah. 2. Cad. No.5
351;HAVELSAN Hava Elektronik San. ve Tic. A.Ş.;2021;1.393.881.439,00;1.393.881.439,00;1.038.576.004,00;1.461.213.079,00;3.674.366.644,00;124.159.662,00;374.166.969,00;;2103;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Bilgisayarların, elektronik ve optik ürünlerin imalatı;26        ;Mesleki, Bilimsel, Sağlık Amaçlı Aletler ve Malzemeler Sanayi;385       ;www.havelsan.com.tr;Ankara;Çankaya;Mustafa Kemal Mah. Şehit Öğretmen Şenay Aybüke Yalçın Cad. No.39
352;ENPAY Endüstriyel Pazarlama ve Yatırım A.Ş.;2021;1.390.598.410,00;1.439.144.637,00;;;;;;76.401,00;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.enpay.com;Kocaeli;Başiskele;Karadenizliler Mah. Fakülte Cad. No.147/A
353;Unat Yağ Gıda San. ve Tic. A.Ş.;2021;1.389.697.987,00;2.081.600.239,00;;;;;;;;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.unat.com.tr;Gaziantep;Şehitkamil;15 Temmuz Mah. 56168 Nolu Sok. No.14 
355;Söğütsen Seramik Sanayi İnşaat Madencilik İth. İhr. A.Ş.;2021;1.385.104.649,00;1.390.402.873,00;240.085.884,00;293.677.294,00;2.808.473.192,00;82.803.022,00;384.899.333,00;18.941,00;1136;Bilecik Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Çanak, Çömlek, Çini, Porselen Sanayi;361       ;www.sogutsenseramik.com.tr;Ankara;Çankaya;Melvana Bulvarı Konya Yolu Üzeri No.174 Balgat 
356;Mioro Hediyelik Eşya San. ve Tic. A.Ş.;2021;1.382.225.989,00;1.480.676.861,00;26.301.209,00;167.926.630,00;614.303.708,00;4.920.170,00;86.134.655,00;164.754,00;303;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Mücevherat, bijuteri eşyaları ve ilgili ürünlerin imalatı;32.1      ;"Diğer İmalat Sanayi
";390       ;www.mioro.com.tr;İstanbul;Bahçelievler;Merkez Mah. Kavak Sok. No.20 Yenibosna
357;Samet Kalıp ve Madeni Eşya San. ve Tic. A.Ş.;2021;1.380.464.457,00;1.515.890.940,00;561.177.944,00;523.589.564,00;2.137.919.012,00;167.867.674,00;435.966.257,00;37.837,00;1100;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.samet.com.tr;İstanbul;Esenyurt;Atatürk Mah. Adnan Menderes Cad. No.8 Kıraç
359;Temsa Skoda Sabancı Ulaşım Araçları A.Ş.;2021;1.376.403.577,00;1.513.295.460,00;;;2.664.175.771,00;;;83.983,00;1304;Adana Sanayi Odası;0,00;50,00;50,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.temsa.com;Adana;Seyhan;Sarıhamzalı Mah. Turhan Cemal Beriker Bulvarı No.563/A
360;Trakya Döküm San. ve Tic. A.Ş.;2021;1.375.373.356,00;1.418.329.217,00;557.495.313,00;182.096.393,00;1.549.304.707,00;11.183.599,00;431.208.265,00;47.061,00;1115;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.trakyadokum.com.tr;İstanbul;Şişli;Büyükdere Cad. Soyak Binası No.38/2 Mecidiyeköy
361;Beşler Makarna Un İrmik Gıda San. ve Tic. A.Ş.;2021;1.374.677.630,00;1.395.051.101,00;95.126.568,00;120.662.103,00;1.018.548.819,00;9.387.726,00;95.552.319,00;95.584,00;383;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.beslerun.com;Gaziantep;Şehitkamil;2. Organize Sanayi Bölgesi Celal Doğan Bulvarı No.57
362;Kalibre Boru San. ve Tic. A.Ş.;2021;1.373.917.716,00;1.408.312.605,00;;;;;;45.076,00;630;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.kalibreboru.com;Kocaeli;İzmit;Sanayi Mah. Yankı Sok. No.32
363;Nursan Kablo Donanımları San. ve Tic. A.Ş.;2021;1.373.521.892,00;1.615.552.727,00;;654.753.761,00;1.322.414.058,00;;;35.596,00;2575;Tavşanlı Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.nursankd.com;İstanbul;Kağıthane;Kuştepe Mah. Leylak Sok. Nursanlar İş Merkezi K.9 Şişli
364;Şirikçioğlu İplik ve Denim İşletmeleri San. Tic. A.Ş.;2021;1.367.534.174,00;1.386.482.201,00;661.225.828,00;597.563.538,00;826.610.027,00;67.745.377,00;;;1024;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.sirikcioglu.com.tr;Kayseri;Melikgazi;Kayseri Serbest Bölgesi Anbar Mah. 8. Cad. No.27
365;Doğanlar Mobilya Grubu İmalat San. ve Tic. A.Ş.;2021;1.361.760.452,00;1.757.297.999,00;373.977.256,00;21.390.159,00;1.336.071.632,00;65.278,00;215.547.918,00;16.338,00;2290;İstanbul Sanayi Odası;0,00;46,26;0,00;53,74;Mobilya imalatı;31        ;Ağaç, Mobilya ve Mefruşat Sanayi;332       ;www.doganlarmobilyagrubu.com;İstanbul;Maltepe;İdealtepe Mah. Rıfkı Tongsir Cad. No.107
366;Bossa Ticaret ve Sanayi İşletmeleri T.A.Ş.;2021;1.360.026.784,00;1.360.026.784,00;;;;;;;;Adana Sanayi Odası;0,00;87,81;0,00;12,19;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.bossa.com.tr;Adana;Sarıçam;Hacı Sabancı Organize Sanayi Bölgesi Acıdere OSB Mah. Celal Bayar Bulvarı No.3 
368;Bupiliç Entegre Gıda San. Tic. A.Ş.;2021;1.353.594.438,00;1.445.312.262,00;;;;;;35.456,00;882;Balıkesir Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.bupilic.com.tr;Balıkesir;Bandırma;Balıkesır Asfaltı 10. Km
369;Vitra Karo San. ve Tic. A.Ş.;2021;1.347.999.421,00;2.023.838.028,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Çanak, Çömlek, Çini, Porselen Sanayi;361       ;www.vitrakaro.com;İstanbul;Tuzla;Şifa Mah. Hükümet Cad. No.5
370;Üniteks Tekstil Gıda Motorlu Araçlar San. ve Tic. A.Ş.;2021;1.341.639.398,00;2.890.249.568,00;;;;;;149.470,00;474;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Giyim eşyalarının imalatı;14        ;Giyim Eşya Sanayi;322       ;www.uniteks.com.tr;İzmir;Çiğli;AOSB 10039 Sok. No.26
371;Er Yem Gıda Tarım Ürünleri San. ve Tic. A.Ş.;2021;1.336.269.580,00;1.752.463.770,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.odemisyem.com.tr;İzmir;Ödemiş;Emmioğlu Mah. Fakülte Cad. No.29
372;Boyteks Tekstil San. ve Tic. A.Ş.;2021;1.333.552.757,00;1.345.395.758,00;;;;;;106.640,00;1032;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.boyteks.com;Kayseri;Melikgazi;1. Organize Sanayi Bölgesi 8. Cad. No.60
373;Orta Anadolu Ticaret ve Sanayi İşletmesi T.A.Ş.;2021;1.330.271.310,00;1.333.416.506,00;;824.568.207,00;1.379.964.605,00;;;71.394,00;1389;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.ortaanadolu.com;Kayseri;Melikgazi;Osman Kavuncu Mah. Mensucat Cad. No.24
374;Tayeks Dış Ticaret ve Tekstil Sanayi A.Ş.;2021;1.329.051.637,00;1.385.750.152,00;;;;;;109.238,00;3002;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Giyim eşyalarının imalatı;14        ;Giyim Eşya Sanayi;322       ;www.tayeks.com.tr;İstanbul;Büyükçekmece;Cumhuriyet Mah. Eski Hadımköy Yolu İnciler Cihan Sanayi Sitesi C Blok Kat 2
375;Ulusoy Un San. ve Tic. A.Ş.;2021;1.327.767.737,00;4.709.641.077,00;69.509.694,00;378.961.953,00;3.106.627.663,00;91.668.887,00;70.783.385,00;75.781,00;273;Samsun Ticaret ve Sanayi Odası;0,00;65,98;0,00;34,02;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.ulusoyun.com.tr;Samsun;Atakum;Denizevleri Mah. Alaçam Cad. Ulusoy Un San. Ve Tic. A.Ş. Blok No:42/1
376;Tadım Gıda Maddeleri San. ve Tic. A.Ş.;2021;1.326.828.916,00;1.484.799.561,00;;;;;;;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.tadim.com;Kocaeli;Çayırova;Gebze Organize Sanayi Bölgesi 1100 Sok. No.1105
377;Lesaffre Turquie Mayacılık Üretim ve Ticaret A.Ş.;2021;1.322.832.039,00;1.342.756.715,00;;;;;;;;Lüleburgaz Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Gıda ürünlerinin imalatı;10        ;Başka Yerde Sınıflandırılmamış Gıda Maddeleri Sanayi;312       ;www.lesaffre.com.tr;İstanbul;Kadıköy;Sahrayıcedit Mah. Cebesoy Sok. Atatürk Cad. No.8
378;Yavuzkan Hazel Gıda San. ve Tic. Ltd. Şti.;2021;1.322.612.285,00;1.327.186.626,00;;;;;;131.199,00;;Giresun Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.yavuzkan.com.tr;Giresun;Merkez;Şeyhkeramettin Mah. Suat Akgün Sok. Yavuzlar Çarşısı Sitesi No.9/2
379;Baykan Denim Konfeksiyon A.Ş.;2021;1.321.944.883,00;1.411.953.811,00;;;;;;143.959,00;;Malatya Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Giyim eşyalarının imalatı;14        ;Giyim Eşya Sanayi;322       ;www.baykandenim.com;İstanbul;Bakırköy;Osmaniye Mah. Osmaniye E5 Yanyol Sok. No.1/2 
380;Teklas Kauçuk San. ve Tic. A.Ş.;2021;1.320.586.427,00;1.846.101.961,00;;;;;;;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Lastik Ürünleri Sanayi;355       ;www.teklas.com.tr;Kocaeli;Gebze;Barış Mah. Koşuyolu Cad. 1804/2 Sok. No.26
381;Nikel Paslanmaz Çelik San. ve Tic. A.Ş.;2021;1.315.799.276,00;1.364.193.832,00;;;;;;;81;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.nikelpaslanmaz.com;İstanbul;Sancaktepe;Emek Mah. Nato Yolu Cad. No.319
382;Polisan Kansai Boya San. ve Tic. A.Ş.;2021;1.300.335.884,00;1.503.399.374,00;;;;;;;;Kocaeli Sanayi Odası;0,00;50,00;50,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.polisan.com.tr;Kocaeli;Dilovası;Dilovası Organize Sanayi Bölgesi 1. Kısım Liman Cad. No.7
383;Emas Makina Sanayi A.Ş.;2021;1.296.085.271,00;2.164.876.408,00;;;;;;;;Manisa Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.emas.com.tr;Manisa;Yunusemre;Mustafa Kemal Bulvarı Organize Sanayi Bölgesi 3.Kısım No.13
384;Hitachi Astemo Turkey Otomotiv A.Ş.;2021;1.291.964.708,00;1.295.411.314,00;;;;;;;;Bursa Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.chassisbrakes.com;Bursa;Osmangazi;Demirtaş Dumlupınar OSB Mah. İstanbul Cad. No.612
385;Tirsan Kardan San. ve Tic. A.Ş.;2021;1.290.286.303,00;1.393.357.481,00;;;;;;95.067,00;;Manisa Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.tiryakiler.com.tr;Manisa;Yunusemre;Keçiliköy OSB Mah. Ahmet Nazif Zorlu Bulvarı No.31 Iv.Kısım
386;Aşkale Çimento Sanayi T.A.Ş.;2021;1.284.875.165,00;1.433.869.550,00;;;;;;;;Erzurum Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Taş ve Toprağa Dayalı Diğer Sanayi;369       ;www.askalecimento.com.tr;Erzurum;Aşkale;Yeşilova Mah. Trabzon Yolu 3.Km 
387;Frimpeks Kimya ve Etiket San. Tic. A.Ş.;2021;1.283.223.045,00;1.296.479.915,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.frimpeks.com;İstanbul;Sarıyer;Ahi Evran Cad. Polaris Plaza No.21 K.12 Maslak
388;ERBOSAN Erciyas Boru San. ve Tic. A.Ş.;2021;1.278.468.417,00;1.328.349.832,00;285.876.289,00;571.607.304,00;941.841.685,00;247.349.082,00;256.672.993,00;77.099,00;312;Kayseri Sanayi Odası;0,00;0,00;0,00;100,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.erbosan.com.tr;Kayseri;Melikgazi;Anbar Mah. 895. Sok. No.9
389;Biska Tekstil San. ve Tic. A.Ş.;2021;1.276.653.600,00;1.366.002.990,00;;;;;;;645;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.biska.com.tr;Gaziantep;Şehitkamil;3. Organize Sanayi Bölgesi Kamil Şerbetçi Bulvarı No.31 Başpınar
390;Çekok Gıda San. ve Tic. A.Ş.;2021;1.275.215.762,00;1.442.326.011,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.cekok.com.tr;İstanbul;Tuzla;İstanbul Deri Organize Sanayi Bölgesi Vidala Sok. No.1 
391;Nuh'un Ankara Makarnası San. ve Tic. A.Ş.;2021;1.270.772.610,00;1.271.630.161,00;;;;;;;;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.nuh.com.tr;Ankara;Sincan;1. Organize Sanayi Bölgesi Altınordu Cad. No.1 
392;Erdem Soft Tekstil A.Ş.;2021;1.267.938.137,00;1.280.634.811,00;;;;;;26.000,00;800;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.erdemsofttextile.com;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi Lütfullah Bilgin Bulvarı No.13 Başpınar
393;Bekaert İzmit Çelik Kord San. ve Tic. A.Ş.;2021;1.266.982.985,00;1.458.628.549,00;;627.079.477,00;1.311.507.275,00;;;36.221,00;452;Kocaeli Sanayi Odası;0,00;0,00;100,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.bekaert.com;Kocaeli;İzmit;Alikahya Fatih Mah. Sanayi Cad. No.88
394;Atabay Kimya San. ve Tic. A.Ş.;2021;1.264.965.957,00;1.271.011.572,00;;356.565.714,00;703.522.723,00;;;5.036,00;611;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı;21        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.atabay.com;Kocaeli;Gebze;Dilovası OSB Mah. Sakarya Cad No:28 4.Kısım
396;Beyçelik Gestamp Şasi Otomotiv Sanayi A.Ş.;2021;1.249.983.519,00;1.367.142.536,00;;347.437.183,00;1.068.484.862,00;;;41.100,00;925;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.beycelikgestamp.com.tr;Kocaeli;Çayırova;Taysad Organize Sanayi Bölgesi 1. Cad. No.5
397;Varaka Kağıt Sanayi A.Ş.;2021;1.247.057.114,00;1.251.875.898,00;528.843.622,00;49.591.109,00;2.869.306.529,00;113.181.007,00;428.897.235,00;3.705,00;474;Balıkesir Sanayi Odası;0,00;100,00;0,00;0,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.varaka.com;İstanbul;Zeytinburnu;Maltepe Mah. Fetih Cad. No.6 Dk.13
398;İzdemir Enerji Elektrik Üretim A.Ş.;2021;1.243.212.284,00;1.354.535.720,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.izdemirenerji.com.tr;İzmir;Konak;Şair Eşref Bulvarı No.23/5 Çankaya
399;Kaltun Madencilik Sanayi Nakliye ve Akaryakıt Ticaret A.Ş.;2021;1.239.170.625,00;1.305.702.672,00;;;;;;;;Aydın Sanayi Odası;0,00;100,00;0,00;0,00;Diğer madencilik ve taş ocakçılığı;08        ;"Madencilik ve Taşocakçılığı
";210       ;www.kaltun.com.tr;Aydın;Çine;AydınMuğla Karayolu 35. Km Yolboyu Mah. Merkez Sok. No.247/1
